article,n_gram,tokens,model,flavor,preprocessed,pipeline,test_mean_accuracy,test_std_accuracy,test_mean_f-1,test_std_f-1,train_mean_accuracy,train_std_accuracy,train_mean_f-1,train_std_f-1,train_mean_c_MCC,train_std_c_MCC,test_mean_c_MCC,test_std_c_MCC,train_mean_TP,train_mean_TN,train_mean_FP,train_mean_FN,train_std_TP,train_std_TN,train_std_FP,train_std_FN,test_mean_TP,test_mean_TN,test_mean_FP,test_mean_FN,test_std_TP,test_std_TN,test_std_FP,test_std_FN,config_space
1,4,5000,random_forest,desc,0,None,0.9295600037327361,0.004632982756166469,0.9634166394822131,0.002372595941259039,0.9786193027990316,0.0026639988559698626,0.9886065615648443,0.0014056701659976008,0.8300936676618674,0.022505061027624573,0.07314057747207311,0.14628115494414623,793.8,43.8,18.3,0.0,0.4,2.2271057451320084,2.2825424421026654,0.0,88.2,0.2,6.7,0.0,0.4,0.4000000000000001,0.45825756949558405,0.0,"{'criterion': 'entropy', 'min_sample_split': 20, 'n_estimators': 143, 'max_depth': 552}"
2,4,5000,random_forest,desc,0,None,0.9261340987004705,0.01494474956983392,0.9607755572893885,0.007596516060094529,1.0,0.0,1.0,0.0,1.0,0.0,0.3973262480240112,0.22828912004819665,915.3,96.3,0.0,0.0,0.45825756949558405,0.45825756949558405,0.0,0.0,101.5,2.6,8.1,0.2,0.6708203932499369,1.8547236990991407,1.7578395831246947,0.4000000000000001,"{'criterion': 'entropy', 'min_sample_split': 2, 'n_estimators': 51, 'max_depth': 449}"
1,4,5000,random_forest,desc,0,None,0.9306248751605599,0.006722472171326494,0.9639097360237734,0.0034819682671594424,0.9768676776164442,0.0017676924946527374,0.9876797518435465,0.0009346634924770758,0.8151074488937722,0.014690917142697485,0.17518596991737162,0.15798293892672008,705.4,37.8,17.4,0.2,0.48989794855663565,1.16619037896906,1.3564659966250538,0.4000000000000001,176.2,0.8,13.0,0.2,0.4,0.7483314773547883,1.0954451150103321,0.4000000000000001,"{'n_estimators': 8, 'criterion': 'entropy', 'min_sample_split': 10, 'max_depth': 575}"
2,4,5000,random_forest,desc,0,None,0.9305886243386243,0.011835945279320814,0.9630253141884098,0.006046208231205772,0.9998514998514999,0.0003637495905528828,0.9999180395049586,0.00020076139191731337,0.9991314167637075,0.002127585728051808,0.464742566441272,0.19786422868553033,871.7142857142857,91.57142857142857,0.14285714285714285,0.0,0.45175395145262565,0.7284313590846836,0.34992710611188266,0.0,145.0,4.428571428571429,10.857142857142858,0.2857142857142857,0.9258200997725514,1.9897697538834456,1.8844151368961313,0.6998542122237652,"{'n_estimators': 32, 'criterion': 'entropy', 'min_sample_split': 2, 'max_depth': 261}"
3,4,5000,random_forest,desc,0,None,0.9171981604230718,0.01485778692001553,0.9555518160438911,0.00767523960121452,1.0,0.0,1.0,0.0,1.0,0.0,0.4404634162032402,0.1492112341030238,1967.142857142857,238.28571428571428,0.0,0.0,0.3499271061118826,0.4517539514526256,0.0,0.0,326.7142857142857,10.428571428571429,29.285714285714285,1.1428571428571428,1.1605769149479943,5.394630739571202,5.062870041905528,0.9897433186107869,"{'n_estimators': 54, 'criterion': 'entropy', 'min_sample_split': 2, 'max_depth': 922}"
5,4,5000,random_forest,desc,0,None,0.9214654341291896,0.00936799380387804,0.9584295127873025,0.004802195476366396,0.9973335092570446,0.0012318979816923474,0.9985340934701317,0.0006763640968372905,0.983942519695594,0.007470878421330079,0.35591229423295745,0.1269192042078529,1872.8,184.5,5.4,0.1,0.6000000000000001,2.539685019840059,2.3748684174075834,0.30000000000000004,207.4,3.8,17.3,0.7,0.8,2.0396078054371136,2.0518284528683193,0.6403124237432849,"{'n_estimators': 12, 'criterion': 'entropy', 'min_sample_split': 2, 'max_depth': 815}"
6,4,5000,random_forest,desc,0,None,0.9238183644912616,0.008917125801222744,0.958887891082524,0.004700507358473863,0.999629146683576,0.0001914585767454228,0.9997923527699903,0.00010719159050889703,0.9980619530897782,0.0010007771726859508,0.513593337841788,0.07198928066123793,5536.8,662.8,2.3,0.0,0.39999999999999997,1.1661903789690602,1.1874342087037917,0.0,612.0,24.6,49.3,3.2,2.756809750418044,5.535341001239218,5.728001396647874,2.5612496949731396,"{'criterion': 'gini', 'min_sample_split': 2, 'n_estimators': 32, 'max_depth': 189}"
8,4,5000,random_forest,desc,0,None,0.8416678133178489,0.025823518609069916,0.900545074083214,0.015533210644316519,0.9972844821430541,0.0013689720776105167,0.9981426327934312,0.0009351926194203047,0.9931246823397746,0.003465976115647588,0.5731338145156271,0.0815559556250488,805.7142857142857,296.14285714285717,3.0,0.0,0.45175395145262565,1.7261494247992246,1.5118578920369088,0.0,131.85714285714286,23.142857142857142,26.714285714285715,2.4285714285714284,2.6418917155581325,4.085814184592883,3.917516914514882,2.3819045715047236,"{'criterion': 'entropy', 'min_sample_split': 6, 'n_estimators': 102, 'max_depth': 304}"
10,4,5000,random_forest,desc,0,None,0.8320528594212805,0.03642474980836497,0.8976239472633207,0.018986614396586155,0.9801622396690111,0.004237375888692378,0.9868426267018803,0.0027863308357844916,0.947317477339373,0.011333523203015833,0.5163764406640226,0.13345524424832503,374.8,119.2,8.6,1.4,0.8717797887081347,1.8330302779823358,1.9595917942265426,0.8,41.0,5.6,8.6,0.8,1.4832396974191326,2.90516780926679,2.973213749463701,1.5362291495737217,"{'criterion': 'entropy', 'min_sample_split': 4, 'n_estimators': 9, 'max_depth': 125}"
11,4,5000,random_forest,desc,0,None,0.8690608612744318,0.06937365911148137,0.9243524211813414,0.04103365330523142,0.9389461470206812,0.01302353015343723,0.9640231478839324,0.00738338024973032,0.7632444634927247,0.05925406728346647,0.4247144308017245,0.3289509109849656,149.14285714285714,22.285714285714285,6.0,5.142857142857143,0.989743318610787,2.602981022612657,2.32992949004287,1.124858267715973,24.428571428571427,2.0,2.7142857142857144,1.2857142857142858,1.2936264483053455,1.3093073414159542,1.2777531299998799,1.385051387833237,"{'criterion': 'gini', 'min_sample_split': 15, 'n_estimators': 2, 'max_depth': 863}"
13,4,5000,random_forest,desc,0,None,0.9229260887099187,0.006818216865119248,0.95947749723095,0.003350643124458802,0.9896817830106791,0.004223877829729278,0.994396211142454,0.002283232721088306,0.9320745995569364,0.028398392919157557,0.2846380080623797,0.1120534274703384,797.6,65.4,9.0,0.0,0.48989794855663565,3.555277766926235,3.687817782917155,0.0,198.8,2.4,16.2,0.6,0.4,2.33238075793812,2.1354156504062622,0.7999999999999999,"{'criterion': 'entropy', 'min_sample_split': 4, 'n_estimators': 6, 'max_depth': 993}"
34,4,5000,random_forest,desc,0,None,0.6691290191290191,0.021044754896481315,0.7845416995861357,0.008225297771713814,0.9944444444444445,0.007407407407407401,0.9957040082219939,0.005719459087996255,0.9880450218904482,0.01592628949483389,0.15568696945398638,0.13254079472138114,69.6,38.6,0.6,0.0,0.4898979485566356,1.0198039027185568,0.7999999999999999,0.0,16.4,1.8,8.0,1.0,1.2,1.6,1.4142135623730951,0.8944271909999159,"{'criterion': 'gini', 'min_sample_split': 2, 'n_estimators': 16, 'max_depth': 382}"
p1,4,5000,random_forest,desc,0,None,0.8969761273209549,0.018526935301053354,0.9421853107279912,0.009901799503839098,0.9561869134707752,0.005756033348631383,0.9748010680233786,0.0032149254325660763,0.8098878215604224,0.027680121275602872,0.49422022308561864,0.1133796419483331,881.6,113.6,31.2,14.4,3.7735924528226414,7.28285658241325,7.30479294709987,3.7735924528226414,218.0,15.4,20.8,6.0,1.2649110640673518,5.1613951602255765,4.791659420284375,1.2649110640673518,"{'criterion': 'entropy', 'min_sample_split': 7, 'n_estimators': 1, 'max_depth': 138}"
